Concurso;Data Sorteio;Dezena_1;Dezena_2;Dezena_3;Dezena_4;Dezena_5;Dezena_6;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
135;10/03/98;35;40;21;59;53;22;0;0;;;0;40;24.573,18;3604;272,19;SIM;2.188.444,72;0;0
136;10/10/98;17;25;45;38;1;59;0;0;;;0;126;8.435,36;7403;143,29;SIM;3.463.871,17;0;0
137;17/10/1998;26;15;16;22;19;49;0;0;;;0;88;12.675,49;6701;166,13;SIM;4.802.402,93;0;0
138;24/10/1998;41;14;37;5;40;27;0;0;;;0;86;14.074,36;6953;173,74;SIM;6.254.876,80;0;0
139;31/10/1998;26;27;13;42;41;3;0;2;;;3.902.486,14;179;7.216,46;9401;137,14;NÃO;0;0;0
140;11/07/98;55;31;46;44;41;7;0;0;;;0;45;36.581,33;4945;332,24;SIM;16.453.628,31;0;0
141;14/11/1998;10;22;42;13;41;58;0;0;;;0;119;20.106,10;10533;226,7;SIM;19.324.778,90;0;0
142;21/11/1998;20;59;19;54;15;8;0;0;;;0;162;18.143,56;13991;209,66;SIM;22.851.887,24;0;0
143;28/11/1998;40;18;6;20;50;53;0;0;;;0;144;24.792,99;10994;324,1;SIM;27.136.115,88;0;0
144;12/05/98;8;32;44;36;45;55;0;1;;;33.597.755,21;257;20.952,14;23952;224,38;NÃO;0;0;0
145;12/12/98;43;15;41;51;16;31;0;0;;;0;71;15.061,27;3389;314,91;SIM;1.283.220,59;0;0
146;19/12/1998;51;34;25;60;42;32;0;0;;;0;51;23.923,45;4079;298,52;SIM;2.747.335,81;0;0
147;24/12/1998;24;6;38;23;28;16;0;1;;;3.805.750,38;75;11.760,17;5418;162,48;NÃO;0;0;0
148;31/12/1998;32;55;59;41;58;35;0;0;;;0;15;53.660,04;2322;345,95;SIM;965.880,61;0;0
149;01/09/99;11;45;48;7;28;20;0;0;;;0;106;9.795,13;6290;164,74;SIM;2.211.820,94;0;0
150;16/01/1999;50;44;12;55;52;54;0;0;;;0;56;36.378,71;5540;367;SIM;21.414.530,14;0;0
151;23/01/1999;3;43;16;56;52;20;0;1;;;24.091.811,02;152;14.678,07;9869;225,62;NÃO;0;0;0
152;30/01/1999;12;5;15;51;58;29;0;0;;;0;75;11.562,39;5041;172,03;SIM;1.040.614,80;0;0
153;02/06/99;47;2;31;42;45;30;0;0;;;0;47;22.846,45;4218;254,57;SIM;2.329.154,62;0;0
154;13/02/1999;8;10;24;33;45;48;0;0;;;0;144;7.888,29;9252;122,78;SIM;3.692.251,60;0;0
155;20/02/1999;12;32;44;43;35;30;0;1;;;4.988.808,21;67;16.126,32;4974;217,22;NÃO;0;0;0
